规则,药品名,拼音首字母,医保编码数,KP ID
药品区分性别使用,调经至宝丸,tjzbw,1,31474
药品区分性别使用,调经止带丸,tjzdw,2,31471
药品区分性别使用,调经姊妹丸,tjzmw,9,31476
药品区分性别使用,调经止痛胶囊,tjztjn,7,31472
药品区分性别使用,调经止痛片,tjztp,15,31473
药品区分性别使用,调经种子丸,tjzzw,2,31475
药品区分性别使用,酮康唑栓,tkzs,2,31272
药品区分性别使用,特康唑阴道栓,tkzyds,1,31390
药品区分性别使用,通络生乳糖浆,tlsrtj,1,31633
药品区分性别使用,田七痛经胶囊,tqtjjn,64,31271
药品区分性别使用,通乳颗粒,trkl,3,31634
药品区分性别使用,替硝唑阴道片,txzydp,1,31631
药品区分性别使用,替硝唑阴道泡腾片,txzydptp,21,31270
药品区分性别使用,天珠生乳颗粒,tzsrkl,1,31632
药品区分性别使用,温经白带丸,wjbdw,1,31646
药品区分性别使用,温经活血片,wjhxp,14,31647
药品区分性别使用,温经颗粒,wjkl,2,31648
药品区分性别使用,温经丸,wjw,1,31649
药品区分性别使用,温经养血合剂,wjyxhj,3,31650
药品区分性别使用,温经止痛膏,wjztg,3,31651
药品区分性别使用,瓦松栓,wss,2,31645
药品区分性别使用,五子衍宗丸,wzyzw,178,31652
药品区分性别使用,烯丙雌醇片,xbccp,3,31359
药品区分性别使用,硝呋太尔阴道片,xfteydp,18,31275
药品区分性别使用,硝呋太尔-制霉菌素阴道栓,xftezmjsyds,4,31276
药品区分性别使用,硝呋太尔制霉素阴道软胶囊,xftezmsydrjn,11,31277
药品区分性别使用,消糜栓,xms,16,31654
药品区分性别使用,下乳涌泉散,xryqs,2,31653
药品区分性别使用,硝酸咪康唑栓,xsmkzs,37,31278
药品区分性别使用,硝酸咪康唑阴道片,xsmkzydp,6,31280
药品区分性别使用,硝酸咪康唑阴道泡腾片,xsmkzydptp,3,31279
药品区分性别使用,硝酸咪康唑阴道软胶囊,xsmkzydrjn,13,31281
药品区分性别使用,鲜益母草胶囊,xymcjn,5,31274
药品区分性别使用,愈带丸,ydw,5,31667
